Āfrika	Africa
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Fryderyk Chopin
Rentgenijs	Roentgenio
Toskāna	Toscana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicio
Marke	Marche
Umbrija	Umbria
Lacio	Lazio
Abruco	Abruzzo
Apenīni	Appennini
Alpi	Alpi
Karpati	Carpazi
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Dama
Dortmunde	Dortmund
Gente	Gand
Čikāga	Chicago
The Beatles	The Beatles
Ununtrijs	Ununtrio
Flerovijs	Flerovio
Ununpentijs	Ununpentio
Livermorijs	Livermorio
Ununseptijs	Ununseptio
Ununoktijs	Ununoctio
Komo (pilsēta)	Como
Māstrihta	Maastricht
Arnema	Arnhem
Ziema	Inverno
Pavasaris	Primavera
Vasara	Estate
Rudens	Autunno
Ekvinokcija	Equinozio
Sadams Huseins	Saddam Hussein
Osama bin Ladens	Osama bin Laden
Spāņu valoda	Lingua spagnola
Frīdrihs Hajeks	Friedrich von Hayek
Montevideo	Montevideo
Johans Sebastians Bahs	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Togliatti (città)
Pitsburga	Pittsburgh
Opera	Opera
Filadelfija	Filadelfia (Stati Uniti d'America)
Kolkata	Calcutta
Toljati @@@u0026Lada"	Chokkejnyj Klub Lada Togliatti
Opel Astra	Opel Astra
Čennai	Chennai
Deli	Delhi
Daka	Dacca
Bengalūru	Bangalore
Rietumbengāle	Bengala occidentale
Zirnekļi	Araneae
Zirnekļveidīgie	Arachnida
Helicerāti	Chelicerata
Posmkāji	Arthropoda
Haidarābādu	Hyderabad
Islāmābāda	Islamabad
Tripura	Tripura
Auglis	Frutto
Kategorija:Portu	Categoria:Porto
Nauda	Denaro
Virdžīnija	Virginia
Rietumvirdžīnija	Virginia Occidentale
Materhorns	Cervino
Dungeons & Dragons	Dungeons & Dragons
Dārzeņpipars	Capsicum annuum
Hūrons	Lago Huron
Ņujorka (štats)	New York (Stato)
Cērijs	Cerio
Prazeodīms	Praseodimio
Rodailenda	Rhode Island
Neodīms	Neodimio
Kukaiņi	Insecta
Mērilenda	Maryland
Delavēra	Delaware
Vladimirs Ļeņins	Lenin
Eiropijs	Europio
Ohaio (štats)	Ohio
Vergilijs	Publio Virgilio Marone
Nikolo Makjavelli	Niccolò Machiavelli
Pensilvānija	Pennsylvania
Frančesko Petrarka	Francesco Petrarca
Džovanni Bokačo	Giovanni Boccaccio
Luidži Pirandello	Luigi Pirandello
Iterzene	Uetersen
Oktaviāns	Augusto
Microsoft Windows	Microsoft Windows
Tibērijs	Tiberio
Ņūdžersija	New Jersey
Kaligula	Caligola
Gibraltārs	Gibilterra
Klaudijs	Claudio
Somu valoda	Lingua finlandese
Nērons	Nerone
Indiāna	Indiana
Otons	Otone
Vitēlijs	Vitellio
Nokia	Nokia
Vespasiāns	Vespasiano
Automašīna	Autovettura
Tits	Tito (imperatore romano)
Turīnas @@@u0026Juventus"	Juventus Football Club
Domiciāns	Domiziano
Nerva	Marco Cocceio Nerva
Trajāns	Traiano
Rodžers Federers	Roger Federer
Adriāns	Publio Elio Traiano Adriano
Džordžija	Georgia (Stati Uniti d'America)
Antonijs Pijs	Antonino Pio
Marks Aurēlijs	Marco Aurelio
KDE	KDE
Komods	Commodo
Zagreba	Zagabria
Rādžastāna	Rajasthan
Kampānija	Campania
Teksasa	Texas
Septimijs Severs	Settimio Severo
Molize	Molise
Tamilnāda	Tamil Nadu
Karakalla	Caracalla
Apūlija	Puglia
Dženova	Genova
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Bazilikata	Basilicata
Ziemeļkarolīna	Carolina del Nord
Lauka hokejs	Hockey su prato
Dienvidkarolīna	Carolina del Sud
Dženovas @@@u0026Sampdoria"	Unione Calcio Sampdoria
Kalabrija	Calabria
Sicīlija	Sicilia
Manila	Manila
Sardīnija	Sardegna
Ferdinands Markoss	Ferdinand Marcos
Sebu	Cebu
Luāra (upe)	Loira
Moriss Kornēlijs Ešers	Maurits Cornelis Escher
Sēna	Senna
Krona slimība	Malattia di Crohn
Davao	Davao
Kesonsitija	Quezon
Lemāna	Le Mans
Bordo	Bordeaux
Korasona Akino	Corazón Aquino
Sistēmiskā sarkanā vilkēde	Lupus eritematoso sistemico
Buenosairesa	Buenos Aires
Urķis	Hacker
Mehiko	Città del Messico
Tokija	Tokyo
Lapasa	La Paz
Barselona	Barcellona
Ananass	Ananas comosus
Misisipi (štats)	Mississippi
Fernāns Magelāns	Ferdinando Magellano
Misisipi (upe)	Mississippi (fiume)
Utarpradēša	Uttar Pradesh
Utarakhanda	Uttarakhand
Mizorāma	Mizoram
Sikima	Sikkim
Patagonija	Patagonia
Tenesī	Tennessee
Rihards Vāgners	Richard Wagner
Roberts Luiss Stīvensons	Robert Louis Stevenson
Nāgpura	Nagpur
Dženisa Džoplina	Janis Joplin
Abidžana	Abidjan
Abū Dabī	Abu Dhabi
Astana	Astana
Ņūmeksika	Nuovo Messico
Ramzess Lielais	Ramses II
Atēnas	Atene
Minesota	Minnesota
Bagdāde	Baghdad
Karakasa	Caracas
Universālais koordinētais laiks	Tempo coordinato universale
Viskonsina	Wisconsin
Pune	Pune
Cicerons	Marco Tullio Cicerone
AC Milan	Associazione Calcio Milan
Sindija Lopere	Cyndi Lauper
Aiova	Iowa
Nebraska	Nebraska
Gvatemala (pilsēta)	Città del Guatemala
Kanzasa	Kansas
Havana	L'Avana
Tabaka	Tabacco
Hindi	Lingua hindi
Marathu valoda	Lingua marathi
Internet Explorer	Internet Explorer
Cigarete	Sigaretta
Ganēša	Ganesha
Misūri (štats)	Missouri
Georgs Simons Oms	Georg Ohm
Luiziāna	Louisiana
Nāgālenda	Nagaland
Kentuki	Kentucky
Tims Linsekums	Tim Lincecum
Alfa Romeo 159	Alfa Romeo 159
Ārkanzasa	Arkansas
Nīls Ārmstrongs	Neil Armstrong
Urdu	Lingua urdu
Čārlzs Lindbergs	Charles Lindbergh
Sīgfrids Ēdstrems	Sigfrid Edström
Edīte Piafa	Édith Piaf
Osijeka	Osijek
Elba	Elba (fiume)
Rijeka	Fiume (Croazia)
Emsa	Ems (fiume)
Oklahoma	Oklahoma
Vēzere	Weser
Johans Bleiks	Yohan Blake
Džastins Getlins	Justin Gatlin
Donava	Danubio
Kirani Džeimss	Kirani James
Deivids Rudiša	David Rudisha
Splita	Spalato
Rūra (upe)	Ruhr (fiume)
Žaks Brels	Jacques Brel
Mozele	Mosella
Maina	Meno (fiume)
Mohameds Farahs	Mohamed Farah
Nekāra	Neckar
Ezekiels Kemboi	Ezekiel Kemboi
Zāle (upe)	Saale
Hāfele	Havel
Šprē	Sprea
Džeisons Ričardsons	Jason Richardson (cestista)
Elde	Elde (fiume)
Felikss Sančess	Félix Sánchez
Ziemeļjūra	Mare del Nord
Skageraks	Skagerrak
Maskavas apgabals	Oblast' di Mosca
Nesta Kārters	Nesta Carter
Ķīle	Kiel
Šverīne	Schwerin
Potsdama	Potsdam
Hannovere	Hannover
Diseldorfa	Düsseldorf
Mainca	Magonza
Vīsbādene	Wiesbaden
Dubrovnika	Ragusa (Croazia)
Zārbrikene	Saarbrücken
Minhene	Monaco di Baviera
Samaras apgabals	Oblast' di Samara
Erfurte	Erfurt
Drēzdene	Dresda
Magdeburga	Magdeburgo
Volejbols	Pallavolo
Insbruka	Innsbruck
Brēgenca	Bregenz
Vīne	Vienna
Reno Lavilenī	Renaud Lavillenie
Madonna (mūziķe)	Madonna (cantante)
Kopenhāgena	Copenaghen
Kaļiņingradas apgabals	Oblast' di Kaliningrad
Stokholma	Stoccolma
Tomašs Majevskis	Tomasz Majewski
Helsinki	Helsinki
Dāvids Štorls	David Storl
Murmanskas apgabals	Oblast' di Murmansk
Rīze Hofa	Reese Hoffa
Dublina	Dublino
Elagabals	Eliogabalo
Murmanska	Murmansk
Reikjavīka	Reykjavík
Roberts Hartings	Robert Harting
Kakaši Hatake	Kakashi Hatake
Ella Ficdžeralda	Ella Fitzgerald
Tallina	Tallinn
Rīga	Riga
Zanzibāra	Zanzibar
Gerds Kanters	Gerd Kanter
Lūiss Ārmstrongs	Louis Armstrong
Bratislava	Bratislava
Budapešta	Budapest
Primožs Kozmuss	Primož Kozmus
Kodži Murofuši	Kōji Murofushi
Šarls Aznavūrs	Charles Aznavour
Kešorns Volkots	Keshorn Walcott
Eštons Ītons	Ashton Eaton
Gdaņska	Danzica
Trejs Hārdijs	Trey Hardee
Frankfurte pie Mainas	Francoforte sul Meno
Vroclava	Breslavia
Kočina	Kochi
Lantāns	Lantanio
Prometijs	Promezio
Astronomiskā vienība	Unità astronomica
Samārijs	Samario
Bagio	Baguio
Ačeha	Aceh
Kaļiņingrada	Kaliningrad
Decijs	Decio
Gadolīnijs	Gadolinio
Death Note	Death Note
Zinedins Zidāns	Zinédine Zidane
Terbijs	Terbio
Katoļticība	Cattolicità
Luksemburga (pilsēta)	Lussemburgo (città)
Disprozijs	Disprosio
Vaduca	Vaduz
Bībele	Bibbia
Holmijs	Olmio
Sanmarīno (pilsēta)	Città di San Marino
Erbijs	Erbio
Pnompeņa	Phnom Penh
Arhangeļska	Arcangelo (città)
Tūlijs	Tulio
Hošimina	Ho Chi Minh (città)
Iterbijs	Itterbio
Lutēcijs	Lutezio
Hanoja	Hanoi
Patiesā Jēzus baznīca	Vera Chiesa di Gesù
Angļu valoda	Lingua inglese
Bangkoka	Bangkok
Andora la Velja	Andorra la Vella
Kualalumpūra	Kuala Lumpur
Taibei	Taipei
Amerīcijs	Americio
Odesa	Odessa
Arhangeļskas apgabals	Oblast' di Arcangelo
Kirijs	Curio
Donhoja	Dong Hoi
Konsepsjona	Concepción (Cile)
Berklijs	Berkelio
Bergamo @@@u0026Atalanta"	Atalanta Bergamasca Calcio
Kalifornijs	Californio
Diplomātija	Diplomazia
Boloņa	Bologna
Einšteinijs	Einsteinio
Bologna F.C. 1909	Bologna Football Club 1909
Petrozavodska	Petrozavodsk
Fermijs	Fermio
Kaljāri	Cagliari
Mendelevijs	Mendelevio
Kijeva	Kiev
Cagliari Calcio	Cagliari Calcio
Nobēlijs	Nobelio
Katānija	Catania
Ontārio	Ontario
Lourensijs	Laurenzio
Igo Loriss	Hugo Lloris
Olivjē Žirū	Olivier Giroud
Karīms Benzemā	Karim Benzema
Florāns Maluda	Florent Malouda
Karēlijas Republika	Repubblica di Carelia
Patriss Evra	Patrice Evra
Franks Riberī	Franck Ribéry
Samīrs Nasrī	Samir Nasri
Gaels Klišī	Gaël Clichy
Otava	Ottawa
Anja Pēšone	Anja Pärson
Ēriks Abidāls	Éric Abidal
Džibrils Sisē	Djibril Cissé
Viljams Galā	William Gallas
Bakarijs Saņa	Bacary Sagna
Nikolā Anelka	Nicolas Anelka
Abu Diabī	Abou Diaby
Benjamins Raihs	Benjamin Raich
Jupitera pavadoņi	Satelliti naturali di Giove
Džūba	Giuba (Sudan del Sud)
Manitoba	Manitoba
Alberto Tomba	Alberto Tomba
Alberta	Alberta
Jaunskotija	Nuova Scozia
Erevāna	Erevan
Hermanis Maiers	Hermann Maier
Vologda	Vologda (città)
Koņskovola	Końskowola
Dāresalāma	Dar es Salaam
Hartūma	Khartum
Ņūbransvika	Nuovo Brunswick
Formula 1	Formula 1
Saturna pavadoņi	Satelliti naturali di Saturno
Britu Kolumbija	Columbia Britannica
Prinča Edvarda Sala (Kanāda)	Isola del Principe Edoardo
2000. gads	2000
2003. gads	2003
2002. gads	2002
2001. gads	2001
Saskačevana	Saskatchewan
2012. gads	2012
2011. gads	2011
2010. gads	2010
2009. gads	2009
Oglekļa dioksīds	Anidride carbonica
2013. gads	2013
2014. gads	2014
2015. gads	2015
Ņūfaundlenda un Labradora	Terranova e Labrador
2008. gads	2008
JavaScript	JavaScript
Ziemeļrietumu Teritorijas	Territori del Nord-Ovest
Jukona (teritorija)	Yukon
2004. gads	2004
Vologdas apgabals	Oblast' di Vologda
2005. gads	2005
2006. gads	2006
Nunavuta	Nunavut
2007. gads	2007
Oglekļa monoksīds	Monossido di carbonio
Verona	Verona
Ikaluita	Iqaluit
1900. gads	1900
1901. gads	1901
Fransuā Miterāns	François Mitterrand
Tits Līvijs	Tito Livio
Džuzepe Farina	Nino Farina
Šarls de Golls	Charles de Gaulle
1902. gads	1902
Florence	Firenze
1903. gads	1903
1904. gads	1904
1905. gads	1905
1907. gads	1907
1906. gads	1906
ACF Fiorentina	ACF Fiorentina
HTML5	HTML5
Seneka Jaunākais	Lucio Anneo Seneca
1908. gads	1908
1909. gads	1909
1992. gads	1992
Jelounaifa	Yellowknife
1991. gads	1991
JSON	JSON
1990. gads	1990
1993. gads	1993
Esene	Essen
1994. gads	1994
1995. gads	1995
Huans Manuels Fanhio	Juan Manuel Fangio
1996. gads	1996
Deivids Linčs	David Lynch
Marsels Hiršers	Marcel Hirscher
Komi	Repubblica dei Komi
Genoa C.F.C.	Genoa Cricket and Football Club
1910. gads	1910
1911. gads	1911
1912. gads	1912
Leipciga	Lipsia
1913. gads	1913
Sentdžonsa (Kanāda)	Saint John's (Canada)
1914. gads	1914
1915. gads	1915
Alberto Askari	Alberto Ascari
1916. gads	1916
1997. gads	1997
1998. gads	1998
Nirnberga	Norimberga
1999. gads	1999
1917. gads	1917
1918. gads	1918
Pārtika	Alimento
Edmontona	Edmonton
Hjētils Andrē Omots	Kjetil André Aamodt
Dīsburga	Duisburg
Čūskas	Serpentes
Bohuma	Bochum
Maiks Hotorns	Mike Hawthorn
Žaks Širaks	Jacques Chirac
Vupertāle	Wuppertal
Gaismas ātrums	Velocità della luce
Bīlefelde	Bielefeld
XML	XML
Manheima	Mannheim
Orālais sekss	Sesso orale
Ridžaina	Regina (Canada)
Valerī Žiskārs d'Estēns	Valéry Giscard d'Estaing
Džeks Brebems	Jack Brabham
Neitrīno	Neutrino
Bode Millers	Bode Miller
Viktorija (Kanāda)	Victoria (Canada)
LOL	LOL (internet)
Vinipega	Winnipeg
Neptūna pavadoņi	Satelliti naturali di Nettuno
Helifeksa	Halifax (Canada)
Siktivkara	Syktyvkar
Čerepoveca	Čerepovec
Kvebeka (pilsēta)	Québec (città)
UTC-12	UTC-12
1. janvāris	1º gennaio
2. janvāris	2 gennaio
Urāna pavadoņi	Satelliti naturali di Urano
UTC-11	UTC-11
1920. gads	1920
3. janvāris	3 gennaio
1919. gads	1919
Tacits	Publio Cornelio Tacito
1921. gads	1921
Ņencu autonomais apvidus	Circondario autonomo dei Nenec
1922. gads	1922
Lunda	Lund (Svezia)
4. janvāris	4 gennaio
1923. gads	1923
Biobio reģions	Regione del Bío Bío
UTC-9:30	UTC-9:30
Lenss Ārmstrongs	Lance Armstrong
1924. gads	1924
Narjanmara	Nar'jan-Mar
Asteroīdu josla	Fascia principale
UTC-9	UTC-9
Krievijas PFSR	Repubblica Socialista Federativa Sovietica Russa
Žoržs Pompidū	Georges Pompidou
Ļeņingradas apgabals	Oblast' di Leningrado
JPEG	JPEG
Pundurplanēta	Pianeta nano
Kick-Ass: Jaunie supervaroņi	Kick-Ass (film)
5. janvāris	5 gennaio
Arika	Arica
UTC-8	UTC-8
Malme	Malmö
UTC-7	UTC-7
Pleskava	Pskov
Pleskavas apgabals	Oblast' di Pskov
Sizraņa	Syzran'
6. janvāris	6 gennaio
Krusttēva Toma būda	La capanna dello zio Tom
Elektrons	Elettrone
7. janvāris	7 gennaio
8. janvāris	8 gennaio
Veļikijnovgoroda	Velikij Novgorod
9. janvāris	9 gennaio
Novgorodas apgabals	Oblast' di Novgorod
10. janvāris	10 gennaio
Ņižņijnovgorodas apgabals	Oblast' di Nižnij Novgorod
11. janvāris	11 gennaio
12. janvāris	12 gennaio
Kolumbija (upe)	Columbia (fiume)
Bazs Oldrins	Buzz Aldrin
Scīpions Afrikānis	Publio Cornelio Scipione
13. janvāris	13 gennaio
Birmingema	Birmingham
14. janvāris	14 gennaio
15. janvāris	15 gennaio
16. janvāris	16 gennaio
Toms Henkss	Tom Hanks
17. janvāris	17 gennaio
18. janvāris	18 gennaio
19. janvāris	19 gennaio
20. janvāris	20 gennaio
Rūpnieciskā revolūcija	Rivoluzione industriale
Benzols	Benzene
21. janvāris	21 gennaio
22. janvāris	22 gennaio
23. janvāris	23 gennaio
Romas impērija	Impero romano
24. janvāris	24 gennaio
25. janvāris	25 gennaio
Minska	Minsk
26. janvāris	26 gennaio
Microsoft	Microsoft
27. janvāris	27 gennaio
28. janvāris	28 gennaio
29. janvāris	29 gennaio
30. janvāris	30 gennaio
Tvera	Tver'
31. janvāris	31 gennaio
Tveras apgabals	Oblast' di Tver'
Protons	Protone
2. decembris	2 dicembre
1. decembris	1º dicembre
3. decembris	3 dicembre
7. decembris	7 dicembre
5. decembris	5 dicembre
8. decembris	8 dicembre
10. decembris	10 dicembre
6. decembris	6 dicembre
9. decembris	9 dicembre
Pink Floyd	Pink Floyd
4. decembris	4 dicembre
EADS	Airbus Group
1. februāris	1º febbraio
2. februāris	2 febbraio
Nātrija hlorīds	Cloruro di sodio
3. februāris	3 febbraio
Kurova	Kurów
4. februāris	4 febbraio
5. februāris	5 febbraio
6. februāris	6 febbraio
7. februāris	7 febbraio
8. februāris	8 febbraio
9. februāris	9 febbraio
10. februāris	10 febbraio
Ķīmija	Chimica
Led Zeppelin	Led Zeppelin
14. februāris	14 febbraio
13. februāris	13 febbraio
15. februāris	15 febbraio
11. februāris	11 febbraio
12. februāris	12 febbraio
Smoļenska	Smolensk
1. kavalērijas divīzija (ASV)	1st Cavalry Division (United States Army)
Robins van Persijs	Robin van Persie
19. februāris	19 febbraio
17. februāris	17 febbraio
16. februāris	16 febbraio
18. februāris	18 febbraio
20. februāris	20 febbraio
Divpadsmit saniknotu vīru	La parola ai giurati (film 1957)
Analītiskā ķīmija	Chimica analitica
Smoļenskas apgabals	Oblast' di Smolensk
Neitrons	Neutrone
21. februāris	21 febbraio
22. februāris	22 febbraio
23. februāris	23 febbraio
24. februāris	24 febbraio
25. februāris	25 febbraio
26. februāris	26 febbraio
27. gads	27
27. februāris	27 febbraio
28. februāris	28 febbraio
11. decembris	11 dicembre
29. februāris	29 febbraio
12. decembris	12 dicembre
C sharp	C sharp
Sid Meier's Civilization IV	Civilization IV
13. decembris	13 dicembre
14. decembris	14 dicembre
15. decembris	15 dicembre
Sid Meier's Civilization V	Civilization V
2. marts	2 marzo
3. marts	3 marzo
5. marts	5 marzo
1. marts	1º marzo
7. marts	7 marzo
8. marts	8 marzo
4. marts	4 marzo
10. marts	10 marzo
11. marts	11 marzo
6. marts	6 marzo
13. marts	13 marzo
9. marts	9 marzo
12. marts	12 marzo
15. marts	15 marzo
14. marts	14 marzo
C++	C++
Sālsskābe	Acido cloridrico
16. decembris	16 dicembre
17. decembris	17 dicembre
Krisjānsanna	Kristiansand
16. marts	16 marzo
17. marts	17 marzo
18. marts	18 marzo
Jaroslavļa	Jaroslavl'
19. marts	19 marzo
1989. gads	1989
1988. gads	1988
20. marts	20 marzo
1987. gads	1987
1986. gads	1986
1985. gads	1985
1984. gads	1984
21. marts	21 marzo
1983. gads	1983
22. marts	22 marzo
1982. gads	1982
1981. gads	1981
18. decembris	18 dicembre
1980. gads	1980
23. marts	23 marzo
Jaroslavļas apgabals	Oblast' di Jaroslavl'
Mogadīšo	Mogadiscio
19. decembris	19 dicembre
24. marts	24 marzo
25. marts	25 marzo
20. decembris	20 dicembre
26. marts	26 marzo
27. marts	27 marzo
28. marts	28 marzo
29. marts	29 marzo
30. marts	30 marzo
31. marts	31 marzo
Aljē	Allier (fiume)
Naso	Nassau
Andromedas galaktika	Galassia di Andromeda
Sana	Sana’a
1970. gads	1970
1971. gads	1971
1972. gads	1972
1973. gads	1973
1974. gads	1974
1975. gads	1975
1976. gads	1976
1977. gads	1977
1978. gads	1978
1979. gads	1979
1969. gads	1969
Trīsdesmitgadu karš	Guerra dei trent'anni
Tarbozaurs	Tarbosaurus bataar
Konrāds Adenauers	Konrad Adenauer
Datu saspiešana	Compressione dei dati
Benedikts XVI	Papa Benedetto XVI
15. aprīlis	15 aprile
13. aprīlis	13 aprile
12. aprīlis	12 aprile
14. aprīlis	14 aprile
11. aprīlis	11 aprile
10. aprīlis	10 aprile
8. aprīlis	8 aprile
9. aprīlis	9 aprile
7. aprīlis	7 aprile
6. aprīlis	6 aprile
5. aprīlis	5 aprile
4. aprīlis	4 aprile
3. aprīlis	3 aprile
1. aprīlis	1º aprile
2. aprīlis	2 aprile
Habla kosmiskais teleskops	Telescopio spaziale Hubble
Villijs Brants	Willy Brandt
Helmūts Šmits	Helmut Schmidt
Helmūts Kols	Helmut Kohl
16. aprīlis	16 aprile
17. aprīlis	17 aprile
18. aprīlis	18 aprile
19. aprīlis	19 aprile
20. aprīlis	20 aprile
21. aprīlis	21 aprile
22. aprīlis	22 aprile
23. aprīlis	23 aprile
24. aprīlis	24 aprile
Gerhards Šrēders	Gerhard Schröder
25. aprīlis	25 aprile
26. aprīlis	26 aprile
27. aprīlis	27 aprile
28. aprīlis	28 aprile
29. aprīlis	29 aprile
30. aprīlis	30 aprile
Dabiskais pavadonis	Satellite naturale
Joahims Gauks	Joachim Gauck
Mašīnmācīšanās	Apprendimento automatico
Kristians Vulfs	Christian Wulff
Horsts Kēlers	Horst Köhler
1. maijs	1º maggio
2. maijs	2 maggio
Kālija bromīds	Bromuro di potassio
3. maijs	3 maggio
4. maijs	4 maggio
5. maijs	5 maggio
6. maijs	6 maggio
7. maijs	7 maggio
8. maijs	8 maggio
9. maijs	9 maggio
10. maijs	10 maggio
11. maijs	11 maggio
12. maijs	12 maggio
13. maijs	13 maggio
14. maijs	14 maggio
15. maijs	15 maggio
Titāns (pavadonis)	Titano (astronomia)
Rihards fon Veiczekers	Richard von Weizsäcker
16. maijs	16 maggio
17. maijs	17 maggio
18. maijs	18 maggio
19. maijs	19 maggio
20. maijs	20 maggio
21. maijs	21 maggio
22. maijs	22 maggio
23. maijs	23 maggio
24. maijs	24 maggio
25. maijs	25 maggio
26. maijs	26 maggio
27. maijs	27 maggio
28. maijs	28 maggio
29. maijs	29 maggio
30. maijs	30 maggio
31. maijs	31 maggio
Kostroma	Kostroma (città)
Kostromas apgabals	Oblast' di Kostroma
Pols Makartnijs	Paul McCartney
Egons Krencs	Egon Krenz
21. decembris	21 dicembre
Pijs XII	Papa Pio XII
Ērihs Honekers	Erich Honecker
Romas @@@u0026Lazio"	Società Sportiva Lazio
14. jūnijs	14 giugno
15. jūnijs	15 giugno
13. jūnijs	13 giugno
10. jūnijs	10 giugno
7. jūnijs	7 giugno
11. jūnijs	11 giugno
9. jūnijs	9 giugno
12. jūnijs	12 giugno
6. jūnijs	6 giugno
8. jūnijs	8 giugno
5. jūnijs	5 giugno
3. jūnijs	3 giugno
2. jūnijs	2 giugno
1. jūnijs	1º giugno
4. jūnijs	4 giugno
Ivanova	Ivanovo (Russia)
Ringo Stārs	Ringo Starr
Neapole	Napoli
22. decembris	22 dicembre
SSC Napoli	Società Sportiva Calcio Napoli
Džordžs Harisons	George Harrison
1968. gads	1968
Frīdrihs Eberts	Friedrich Ebert (padre)
1967. gads	1967
1966. gads	1966
1965. gads	1965
1964. gads	1964
16. jūnijs	16 giugno
Ivanovas apgabals	Oblast' di Ivanovo
Džons Franklins	John Franklin
Palermo	Palermo
30. jūnijs	30 giugno
Gausa izslēgšanas metode	Metodo di eliminazione di Gauss
29. jūnijs	29 giugno
28. jūnijs	28 giugno
26. jūnijs	26 giugno
25. jūnijs	25 giugno
22. jūnijs	22 giugno
27. jūnijs	27 giugno
24. jūnijs	24 giugno
20. jūnijs	20 giugno
Pauls fon Hindenburgs	Paul von Hindenburg
23. jūnijs	23 giugno
19. jūnijs	19 giugno
18. jūnijs	18 giugno
21. jūnijs	21 giugno
17. jūnijs	17 giugno
Čaks Noriss	Chuck Norris
U.S. Città di Palermo	Unione Sportiva Città di Palermo
23. decembris	23 dicembre
Vilhelms II Hohencollerns	Guglielmo II di Germania
Gomeļa	Homel'
Brūss Viliss	Bruce Willis
Parma	Parma
Vladimira	Vladimir (Oblast' di Vladimir)
Arnolds Švarcenegers	Arnold Schwarzenegger
15. jūlijs	15 luglio
13. jūlijs	13 luglio
12. jūlijs	12 luglio
10. jūlijs	10 luglio
9. jūlijs	9 luglio
14. jūlijs	14 luglio
8. jūlijs	8 luglio
Parma FC	Parma Football Club
7. jūlijs	7 luglio
6. jūlijs	6 luglio
5. jūlijs	5 luglio
2. jūlijs	2 luglio
4. jūlijs	4 luglio
3. jūlijs	3 luglio
1. jūlijs	1º luglio
11. jūlijs	11 luglio
Vladimiras apgabals	Oblast' di Vladimir
Peskāra	Pescara
24. decembris	24 dicembre
Brēmerhāfene	Bremerhaven
Saša Greja	Sasha Grey
Watford F.C.	Watford Football Club
31. jūlijs	31 luglio
30. jūlijs	30 luglio
29. jūlijs	29 luglio
28. jūlijs	28 luglio
27. jūlijs	27 luglio
25. jūlijs	25 luglio
24. jūlijs	24 luglio
23. jūlijs	23 luglio
26. jūlijs	26 luglio
22. jūlijs	22 luglio
19. jūlijs	19 luglio
21. jūlijs	21 luglio
20. jūlijs	20 luglio
17. jūlijs	17 luglio
18. jūlijs	18 luglio
16. jūlijs	16 luglio
Skerņevice	Skierniewice
Futbols	Calcio (sport)
Luijs de Finess	Louis de Funès
AS Roma	Associazione Sportiva Roma
Minstere	Münster (Renania Settentrionale-Vestfalia)
X-faili. Slepenās lietas	X-Files
25. decembris	25 dicembre
Rjazaņa	Rjazan'
Augsburga	Augusta (Germania)
Sjēna	Siena
Rjazaņas apgabals	Oblast' di Rjazan'
Jaroslavs Hašeks	Jaroslav Hašek
1963. gads	1963
Lehs Kačiņskis	Lech Kaczyński
Menhengladbaha	Mönchengladbach
26. decembris	26 dicembre
Holokausts	Olocausto
1962. gads	1962
Gelzenkirhene	Gelsenkirchen
IPhone	IPhone
Torino F.C.	Torino Football Club
Tula	Tula (Russia)
Braunšveiga	Braunschweig
14. augusts	14 agosto
15. augusts	15 agosto
13. augusts	13 agosto
12. augusts	12 agosto
11. augusts	11 agosto
10. augusts	10 agosto
8. augusts	8 agosto
7. augusts	7 agosto
9. augusts	9 agosto
5. augusts	5 agosto
4. augusts	4 agosto
2. augusts	2 agosto
3. augusts	3 agosto
6. augusts	6 agosto
1. augusts	1º agosto
Udīne	Udine
Džeronimo	Geronimo
Tulas apgabals	Oblast' di Tula
Brāļi Grimmi	Fratelli Grimm
Hemnica	Chemnitz
IPad	IPad
Udinese Calcio	Udinese Calcio
27. decembris	27 dicembre
Brjanska	Brjansk
Krēfelde	Krefeld
Madride	Madrid
Eltons Džons	Elton John
Brjanskas apgabals	Oblast' di Brjansk
Zemūdene	Sottomarino
16. augusts	16 agosto
Coca-Cola	Coca-Cola
Halle	Halle (Saale)
29. augusts	29 agosto
28. augusts	28 agosto
30. augusts	30 agosto
25. augusts	25 agosto
26. augusts	26 agosto
