Naakaii Łizhiní Bikéyah	Africa
Tʼááłáhági átʼéego:Choyoołʼįįhí km-N	Categoria:Utenti km-M
Tʼááłáhági átʼéego:Choyoołʼįįhí kn	Categoria:Utenti kn
Tʼááłáhági átʼéego:Choyoołʼįįhí kn-1	Categoria:Utenti kn-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ko	Categoria:Utenti ko
Tʼááłáhági átʼéego:Wááshindoon bikéyah bił haʼdaʼhaasdzoígíí	Categoria:Stati degli Stati Uniti d'America
Tʼááłáhági átʼéego:Choyoołʼįįhí ko-1	Categoria:Utenti ko-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ko-2	Categoria:Utenti ko-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ko-3	Categoria:Utenti ko-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ksh	Categoria:Utenti ksh
Tʼááłáhági átʼéego:Choyoołʼįįhí ksh-1	Categoria:Utenti ksh-1
Tʼááłáhági átʼéego:Choyoołʼįįhí ksh-2	Categoria:Utenti ksh-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ksh-3	Categoria:Utenti ksh-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ksh-N	Categoria:Utenti ksh-M
Tʼááłáhági átʼéego:Choyoołʼįįhí ku	Categoria:Utenti ku
Tʼááłáhági átʼéego:Choyoołʼįįhí la-1	Categoria:Utenti la-1
Tʼááłáhági átʼéego:Choyoołʼįįhí la-3	Categoria:Utenti la-3
Tʼááłáhági átʼéego:Choyoołʼįįhí la-4	Categoria:Utenti la-4
Tʼááłáhági átʼéego:Choyoołʼįįhí la-N	Categoria:Utenti la-M
Tʼááłáhági átʼéego:Choyoołʼįįhí lb	Categoria:Utenti lb
Tʼááłáhági átʼéego:Choyoołʼįįhí lb-1	Categoria:Utenti lb-1
Tʼááłáhági átʼéego:Choyoołʼįįhí lb-2	Categoria:Utenti lb-2
Tʼááłáhági átʼéego:Choyoołʼįįhí lb-3	Categoria:Utenti lb-3
Tʼááłáhági átʼéego:Dibé Nitsaa Hahoodzodi kin naaznilígíí	Categoria:Comuni del Colorado
Bee álnééhí:User sh	Template:Utente sh
Tʼááłáhági átʼéego:Choyoołʼįįhí nn-2	Categoria:Utenti nn-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ru-1	Categoria:Utenti ru-1
Bee álnééhí:User ta	Template:Utente ta
Bee álnééhí:User sv-1	Template:Utente sv-1
Tʼááłáhági átʼéego:Chʼil bikétłʼóól daadánígíí	Categoria:Radici e tuberi commestibili
Tʼááłáhági átʼéego:Choyoołʼįįhí lo	Categoria:Utenti lo
Tʼááłáhági átʼéego:Choyoołʼįįhí lo-1	Categoria:Utenti lo-1
Tʼááłáhági átʼéego:Choyoołʼįįhí lv	Categoria:Utenti lv
Tʼááłáhági átʼéego:Choyoołʼįįhí ms-1	Categoria:Utenti ms-1
Nahasdzáán bimagnetic field	Campo geomagnetico
Tʼááłáhági átʼéego:Choyoołʼįįhí als-3	Categoria:Utenti als-3
Bee álnééhí:User id	Template:Utente id
Tʼááłáhági átʼéego:Choyoołʼįįhí nds	Categoria:Utenti nds
Tʼááłáhági átʼéego:Choyoołʼįįhí nds-1	Categoria:Utenti nds-1
Tʼááłáhági átʼéego:Choyoołʼįįhí nds-2	Categoria:Utenti nds-2
Tʼááłáhági átʼéego:Choyoołʼįįhí nds-3	Categoria:Utenti nds-3
Tʼááłáhági átʼéego:Choyoołʼįįhí nds-N	Categoria:Utenti nds-M
Tʼááłáhági átʼéego:Kéyah Ałhidadiidzooígíí dóó Ahiih Yikaígíí	Categoria:Organizzazioni internazionali
Tʼááłáhági átʼéego:Chʼosh bijáád dahólónígíí	Categoria:Artropodi
Tʼááłáhági átʼéego:Tó	Categoria:Acqua
Tʼááłáhági átʼéego:Tsáʼásziʼ dóó Noodah	Categoria:Agavaceae
Tʼááłáhági átʼéego:Bidił daazdoígíí dóó daʼalghałígíí	Categoria:Carnivori
Tʼááłáhági átʼéego:Choyoołʼįįhí tt-N	Categoria:Utenti tt-M
Tʼááłáhági átʼéego:Choyoołʼįįhí nn-1	Categoria:Utenti nn-1
Bee álnééhí:User sw-1	Template:Utente sw-1
Bee álnééhí:User af	Template:Utente af
Tʼááłáhági átʼéego:Naakaii Łizhiní Bikéyah	Categoria:Stati dell'Africa
Bee álnééhí:User da-3	Template:Utente da-3
Bee álnééhí:User ja-2	Template:Utente ja-2
Bee álnééhí:User ko-1	Template:Utente ko-1
Bee álnééhí:User cs	Template:Utente cs
Bee álnééhí:User ru-2	Template:Utente ru-2
Bee álnééhí:User es-3	Template:Utente es-3
Bee álnééhí:User ja-3	Template:Utente ja-3
Bee álnééhí:User ko-3	Template:Utente ko-3
Tʼááłáhági átʼéego:Choyoołʼįįhí pt-2	Categoria:Utenti pt-2
Tʼááłáhági átʼéego:Choyoołʼįįhí pt-4	Categoria:Utenti pt-4
Tʼááłáhági átʼéego:Choyoołʼįįhí pt-N	Categoria:Utenti pt-M
Tʼááłáhági átʼéego:Choyoołʼįįhí qu	Categoria:Utenti qu
Tʼááłáhági átʼéego:Choyoołʼįįhí qu-1	Categoria:Utenti qu-1
Tʼááłáhági átʼéego:Choyoołʼįįhí qu-2	Categoria:Utenti qu-2
Tʼááłáhági átʼéego:Choyoołʼįįhí qu-3	Categoria:Utenti qu-3
Tʼááłáhági átʼéego:Choyoołʼįįhí qu-N	Categoria:Utenti qu-M
Tʼááłáhági átʼéego:Choyoołʼįįhí ro-2	Categoria:Utenti ro-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ro-3	Categoria:Utenti ro-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ro-4	Categoria:Utenti ro-4
Tʼááłáhági átʼéego:Choyoołʼįįhí ro-N	Categoria:Utenti ro-M
Tʼááłáhági átʼéego:Choyoołʼįįhí ru	Categoria:Utenti ru
Tʼááłáhági átʼéego:Choyoołʼįįhí ru-2	Categoria:Utenti ru-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ru-3	Categoria:Utenti ru-3
Tʼááłáhági átʼéego:Choyoołʼįįhí ru-4	Categoria:Utenti ru-4
Tʼááłáhági átʼéego:Choyoołʼįįhí sk-1	Categoria:Utenti sk-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sk-3	Categoria:Utenti sk-3
Tʼááłáhági átʼéego:Choyoołʼįįhí sr	Categoria:Utenti sr
Tʼááłáhági átʼéego:Choyoołʼįįhí sr-1	Categoria:Utenti sr-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sr-2	Categoria:Utenti sr-2
Tʼááłáhági átʼéego:Choyoołʼįįhí sr-3	Categoria:Utenti sr-3
Tʼááłáhági átʼéego:Choyoołʼįįhí sr-4	Categoria:Utenti sr-4
Tʼááłáhági átʼéego:Choyoołʼįįhí sr-N	Categoria:Utenti sr-M
Tʼááłáhági átʼéego:Choyoołʼįįhí sv-1	Categoria:Utenti sv-1
Tʼááłáhági átʼéego:Choyoołʼįįhí sv-3	Categoria:Utenti sv-3
Tʼááłáhági átʼéego:Choyoołʼįįhí sv-N	Categoria:Utenti sv-M
Tʼááłáhági átʼéego:Choyoołʼįįhí ta-1	Categoria:Utenti ta-1
Tʼááłáhági átʼéego:Choyoołʼįįhí th-1	Categoria:Utenti th-1
Tʼááłáhági átʼéego:Choyoołʼįįhí th-2	Categoria:Utenti th-2
Tʼááłáhági átʼéego:Choyoołʼįįhí th-3	Categoria:Utenti th-3
Tʼááłáhági átʼéego:Choyoołʼįįhí th-N	Categoria:Utenti th-M
Tʼááłáhági átʼéego:Choyoołʼįįhí tr	Categoria:Utenti tr
Tʼááłáhági átʼéego:Choyoołʼįįhí tr-4	Categoria:Utenti tr-4
Tʼááłáhági átʼéego:Choyoołʼįįhí tr-N	Categoria:Utenti tr-M
Tʼááłáhági átʼéego:Choyoołʼįįhí tt	Categoria:Utenti tt
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-1	Categoria:Utenti uk-1
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-2	Categoria:Utenti uk-2
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-3	Categoria:Utenti uk-3
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-4	Categoria:Utenti uk-4
Tʼááłáhági átʼéego:Choyoołʼįįhí vi	Categoria:Utenti vi
Tʼááłáhági átʼéego:Choyoołʼįįhí vi-1	Categoria:Utenti vi-1
Tʼááłáhági átʼéego:Choyoołʼįįhí vi-2	Categoria:Utenti vi-2
Tʼááłáhági átʼéego:Choyoołʼįįhí vi-N	Categoria:Utenti vi-M
Tʼááłáhági átʼéego:Choyoołʼįįhí vls	Categoria:Utenti vls
Tʼááłáhági átʼéego:Choyoołʼįįhí vls-1	Categoria:Utenti vls-1
Tʼááłáhági átʼéego:Choyoołʼįįhí yue-1	Categoria:Utenti zh-yue-1
Tʼááłáhági átʼéego:Choyoołʼįįhí yue-N	Categoria:Utenti yue-M
Bee álnééhí:User ro-1	Template:Utente ro-1
Tʼááłáhági átʼéego:Tsin ííʼáhígíí	Categoria:Alberi
Bee álnééhí:User ca	Template:Utente ca
Tʼááłáhági átʼéego:Mágí: Diné Ndahalinígíí	Categoria:Ominidi
Tʼááłáhági átʼéego:Mágí	Categoria:Primati
Bee álnééhí:User sv-3	Template:Utente sv-3
Bee álnééhí:User hy-1	Template:Utente hy-1
Bee álnééhí:User hsb-1	Template:Utente hsb-1
Bee álnééhí:User hsb	Template:Utente hsb
Tʼááłáhági átʼéego:Naʼiiniʼ	Categoria:Commercio
Bee álnééhí:User hsb-2	Template:Utente hsb-2
Bee álnééhí:User af-3	Template:Utente af-3
Tʼááłáhági átʼéego:Naaki góneʼ yéigo daʼahijoogą́ą́ʼ	Categoria:Seconda guerra mondiale
Tʼááłáhági átʼéego:Mósí dóó Náshdóí	Categoria:Felidi
Bee álnééhí:User nds	Template:Utente nds
Bee álnééhí:User az-2	Template:Utente az-2
Bee álnééhí:User be	Template:Utente be
Bee álnééhí:User ca-2	Template:Utente ca-2
Bee álnééhí:User ca-3	Template:Utente ca-3
Bee álnééhí:User cs-3	Template:Utente cs-3
Bee álnééhí:User fa-4	Template:Utente fa-4
Bee álnééhí:User ga-2	Template:Utente ga-2
Bee álnééhí:User he-3	Template:Utente he-3
Bee álnééhí:User he-4	Template:Utente he-4
Bee álnééhí:User ko	Template:Utente ko
Bee álnééhí:User la-2	Template:Utente la-2
Bee álnééhí:User mk-1	Template:Utente mk-1
Bee álnééhí:User nn-2	Template:Utente nn-2
Bee álnééhí:User no-1	Template:Utente no-1
Bee álnééhí:User pl-2	Template:Utente pl-2
Bee álnééhí:User pt	Template:Utente pt
Bee álnééhí:User ru-1	Template:Utente ru-1
Bee álnééhí:User sk-1	Template:Utente sk-1
Bee álnééhí:User sk-2	Template:Utente sk-2
Bee álnééhí:User sr-1	Template:Utente sr-1
Bee álnééhí:User uk-1	Template:Utente uk-1
Bee álnééhí:User uk-4	Template:Utente uk-4
Bee álnééhí:User zh-1	Template:Utente zh-1
Bee álnééhí:User zh-2	Template:Utente zh-2
Bee álnééhí:User zh-3	Template:Utente zh-3
Tʼááłáhági átʼéego:Naakaii Łizhiní Bikéyahdę́ę́ʼ Ndaaldeehii	Categoria:Fauna africana
Tʼááłáhági átʼéego:Choyoołʼįįhí nl	Categoria:Utenti nl
Tʼááłáhági átʼéego:Choyoołʼįįhí nn-3	Categoria:Utenti nn-3
Tʼááłáhági átʼéego:Choyoołʼįįhí no-1	Categoria:Utenti no-1
Tʼááłáhági átʼéego:Choyoołʼįįhí no-2	Categoria:Utenti no-2
Tʼááłáhági átʼéego:Choyoołʼįįhí no	Categoria:Utenti no
Tʼááłáhági átʼéego:Choyoołʼįįhí pi-1	Categoria:Utenti pi-1
Tʼááłáhági átʼéego:Choyoołʼįįhí zh-1	Categoria:Utenti zh-1
Tʼááłáhági átʼéego:Choyoołʼįįhí zh-3	Categoria:Utenti zh-3
Tʼááłáhági átʼéego:Choyoołʼįįhí zh-2	Categoria:Utenti zh-2
Tʼááłáhági átʼéego:Chʼał	Categoria:Anuri
Tʼááłáhági átʼéego:Atłʼóóh	Categoria:Tessitura
Tʼááłáhági átʼéego:Mąʼii yił Ałhidanoolinígíí Yázhí	Categoria:Procionidi
Tʼááłáhági átʼéego:Dlǫ́ʼiitsoh Danilínígíí	Categoria:Viverridi
Tʼááłáhági átʼéego:Chéłchaaʼ	Categoria:Coleotteri
Tʼááłáhági átʼéego:Naakáí dootłʼizhí dóó Bééshbichʼahii dabizaad ndahalinígíí	Categoria:Lingue indoeuropee
Tʼááłáhági átʼéego:Hazéí	Categoria:Scoiattoli
Tʼááłáhági átʼéego:Chidí naatʼaʼí ńdinibįįhígi	Categoria:Aeroporti
Tʼááłáhági átʼéego:Áʼádaatʼéhígíí	Categoria:Elementi chimici
Bee álnééhí:User als-2	Template:Utente als-2
Bee álnééhí:User de-4	Template:Utente de-4
Tʼááłáhági átʼéego:Biwooʼ Ádaałtsʼíísígíí dóó Kááʼtsʼiní	Categoria:Xenartri
Chʼoshtsoh bíláshgaantsohí (tónílį́įgiʼígíí)	Astacoidea
Tʼááłáhági átʼéego:Abeʼ bitsʼą́ą́dóó ádaalyaaígíí	Categoria:Prodotti caseari
Tʼááłáhági átʼéego:Tsin dóó chʼil bineestʼąʼ	Categoria:Frutta
Tʼááłáhági átʼéego:Kʼaalógii dóó Iichʼąhii	Categoria:Lepidotteri
Tʼááłáhági átʼéego:Chʼosh bijáád ádaadinígíí	Categoria:Molluschi
Tʼááłáhági átʼéego:Deeteel Bikéyah bił haʼdaʼhaasdzoígíí	Categoria:Province canadesi
Tʼááłáhági átʼéego:Gáagii dóó Joogii Ndahalinígíí	Categoria:Corvidae
Tʼááłáhági átʼéego:Mąʼii dóó Łééchąąʼí	Categoria:Canidi
Tʼááłáhági átʼéego:Tó Wónaanídę́ę́ʼ Mágí	Categoria:Cercopitecidi
Tʼááłáhági átʼéego:Naayízí dóó taʼneeskʼání	Categoria:Cucurbitaceae
Tʼááłáhági átʼéego:Dlǫ́ʼii Ndahalinígíí	Categoria:Mustelidi
Tʼááłáhági átʼéego:Naaldeehii	Categoria:Animali
Tʼááłáhági átʼéego:Shádiʼááhdę́ę́ʼ Ndaaldeehii	Categoria:Fauna sudamericana
Tʼááłáhági átʼéego:Bizaʼazis Dahólónígíí	Categoria:Marsupiali
Tʼááłáhági átʼéego:Chʼosh chʼééh diikáhii	Categoria:Gasteropodi
Tʼááłáhági átʼéego:Chʼosh bitsʼaʼígíí	Categoria:Bivalvi
Tʼááłáhági átʼéego:Gah	Categoria:Lagomorfi
Tʼááłáhági átʼéego:Łóóʼtsoh dóó Tééh hóyáanii	Categoria:Cetacei
Bee álnééhí:User bn	Template:Utente bn
Bee álnééhí:User bn-2	Template:Utente bn-2
Tʼááłáhági átʼéego:Eʼeʼaahjí Tónteel bikáaʼgi Kéyah dah Ndaaʼeełígíí	Categoria:Isole dell'oceano Pacifico
Tʼááłáhági átʼéego:Łóóʼ Bigaan Dahólónígíí	Categoria:Cefalopodi
Tʼááłáhági átʼéego:Chʼééh digháhii dóó Tsisteeł	Categoria:Cheloni
Dah diníilghaazh	Taco indiano
Tʼááłáhági átʼéego:Béésh	Categoria:Metalli
Tʼááłáhági átʼéego:Naayééʼ	Categoria:Dinosauri
Tʼááłáhági átʼéego:Choyoołʼįįhí pi	Categoria:Utenti pi
Tʼááłáhági átʼéego:Choyoołʼįįhí pl	Categoria:Utenti pl
Tʼááłáhági átʼéego:Chʼosh bikágí dantłʼizí	Categoria:Crostacei
Tʼááłáhági átʼéego:Jaaʼabaní	Categoria:Chirotteri
Tʼááłáhági átʼéego:Tłʼiish	Categoria:Serpenti
Tʼááłáhági átʼéego:Shádiʼááhjí kéyah yistinígíí	Categoria:Antartide
Tʼááłáhági átʼéego:Beʼekʼid	Categoria:Laghi
Kʼíshíshjį́į́zh	Toxicodendron radicans
Bee álnééhí:User sw-3	Template:Utente sw-3
Tʼááłáhági átʼéego:Łóóʼ hashkéhé	Categoria:Selachimorpha
Tʼááłáhági átʼéego:Łóóʼ ooshgę́ęzhii	Categoria:Chondrichthyes
Bee álnééhí:User hsb-3	Template:Utente hsb-3
Tʼááłáhági átʼéego:Chidí	Categoria:Automobili
Bee álnééhí:User ga-1	Template:Utente ga-1
Bee álnééhí:User lb	Template:Utente lb
Bee álnééhí:User af-2	Template:Utente af-2
Chąąshtʼezhiitsoh	Daucus carota
Tséyooʼáałii	Curculionidae
Tʼááłáhági átʼéego:Wóʼatsʼǫǫsii Ádaatʼéhígíí	Categoria:Rincoti
Tʼááłáhági átʼéego:Tsin Deigházhígíí	Categoria:Roditori
Bee álnééhí:User sl-1	Template:Utente sl-1
Bee álnééhí:User pl-3	Template:Utente pl-3
Bee álnééhí:User an-1	Template:Utente an-1
Bee álnééhí:User sw	Template:Utente sw
Bee álnééhí:User sr-3	Template:Utente sr-3
Bee álnééhí:User sh-1	Template:Utente sh-1
Bee álnééhí:User sc-1	Template:Utente sc-1
Bee álnééhí:User pi-1	Template:Utente pi-1
Bee álnééhí:User mk	Template:Utente mk
Bee álnééhí:User lt-1	Template:Utente lt-1
Bee álnééhí:User lo-1	Template:Utente lo-1
Bee álnééhí:User la	Template:Utente la
Bee álnééhí:User ksh-3	Template:Utente ksh-3
Bee álnééhí:User ksh-2	Template:Utente ksh-2
Bee álnééhí:User ksh-1	Template:Utente ksh-1
Bee álnééhí:User it-4	Template:Utente it-4
Bee álnééhí:User grc-3	Template:Utente grc-3
Bee álnééhí:User ga	Template:Utente ga
Bee álnééhí:User bs-2	Template:Utente bs-2
Bee álnééhí:User bg-3	Template:Utente bg-3
Bee álnééhí:User bg-2	Template:Utente bg-2
Bee álnééhí:User be-3	Template:Utente be-3
Bee álnééhí:User be-1	Template:Utente be-1
Bee álnééhí:User an	Template:Utente an
Bee álnééhí:User ast	Template:Utente ast
Bee álnééhí:User mzn-2	Template:Utente mzn-2
Tʼááłáhági átʼéego:Dlǫ́ʼii yił Aheedaałtʼéhígíí	Categoria:Erpestidi
Bee álnééhí:User or	Template:Utente or
Tʼááłáhági átʼéego:Choyoołʼįįhí lzh-2	Categoria:Utenti lzh-2
Bee álnééhí:User lzh-2	Template:Utente lzh-2
Tʼááłáhági átʼéego:Hoozdo Hahoodzodi chidí naatʼaʼí ńdinibįįhígi	Categoria:Aeroporti dell'Arizona
Tʼááłáhági átʼéego:Beeʼeldííldahsinil	Categoria:Albuquerque
Tʼááłáhági átʼéego:Táłkáaʼgi Tsídii	Categoria:Anseriformes
Tʼááłáhági átʼéego:Tsísʼná dóó Wáláchííʼ	Categoria:Apocrita
Tʼááłáhági átʼéego:Chʼosh bijáád tseebíhígíí	Categoria:Aracnidi
Tʼááłáhági átʼéego:Yágháhonikáánji biłnaaztʼiʼígíí	Categoria:Esplorazione spaziale
Tʼááłáhági átʼéego:Shash	Categoria:Ursidi
Tʼááłáhági átʼéego:Tsin deiłkaałii	Categoria:Picidae
Tʼááłáhági átʼéego:Tsékooh	Categoria:Canyon
Tó bichʼoshtsoh	Belostomatidae
Tʼááłáhági átʼéego:Dziil / Atsiniltłʼish álʼį́	Categoria:Energia
Tʼááłáhági átʼéego:Shádiʼááh biyaadi dóó Kéyah Yistinígíí bikáaʼgi Ndaaldeehii	Categoria:Fauna antartica
Tʼááłáhági átʼéego:Tsʼíʼii dóó Tséʼédǫ́ʼii	Categoria:Ditteri
Tʼááłáhági átʼéego:Tązhii dóó Naaʼahóóhai Ndahalinígíí	Categoria:Galliformes
Tʼááłáhági átʼéego:Tééh łééchąąʼí	Categoria:Ienidi
Tʼááłáhági átʼéego:Kǫʼ naʼałbąąsii ninádaaltłiʼígi	Categoria:Stazioni ferroviarie
Tʼááłáhági átʼéego:Daʼałtʼoʼígíí biyęęzhii deiłchíhígíí	Categoria:Monotremi
Tʼááłáhági átʼéego:Nahachagii dóó Nahakʼízii	Categoria:Ortotteri
Tʼááłáhági átʼéego:Chéłchaaʼ bigaantéłígíí	Categoria:Scarabaeidae
Tʼááłáhági átʼéego:Tábąąsdísí	Categoria:Scolopacidae
Tʼááłáhági átʼéego:Séigoʼ	Categoria:Scorpiones
Tʼááłáhági átʼéego:Táłtłʼááhdę́ę́ʼ dóó tónteel biyiʼdę́ę́ʼ chʼiyáán	Categoria:Pesci da allevamento
Tʼááłáhági átʼéego:Tsin naaʼeeł	Categoria:Navi
Tʼááłáhági átʼéego:Naʼashjéʼii	Categoria:Araneae
Tʼááłáhági átʼéego:Jááłánii	Categoria:Miriapodi
Tʼááłáhági átʼéego:Bisóodi	Categoria:Suidi
Tʼááłáhági átʼéego:Choyoołʼįįhí ba-N	Categoria:Utenti ba-M
Tʼááłáhági átʼéego:Choyoołʼįįhí dsb-3	Categoria:Utenti dsb-3
Tʼááłáhági átʼéego:Choyoołʼįįhí no-4	Categoria:Utenti no-4
Tʼááłáhági átʼéego:Azeeʼ	Categoria:Piante medicinali e officinali
Tʼááłáhági átʼéego:Choyoołʼįįhí nl-4	Categoria:Utenti nl-4
Bee álnééhí:User cs-2	Template:Utente cs-2
Bee álnééhí:Image label begin	Template:Etichetta immagine inizio
Tʼááłáhági átʼéego:Yootó Hahoodzodi kin naaznilígíí	Categoria:Comuni del Nuovo Messico
Tʼááłáhági átʼéego:Choyoołʼįįhí lzh	Categoria:Utenti lzh
Tʼááłáhági átʼéego:Choyoołʼįįhí hsb-N	Categoria:Utenti hsb-M
Tʼááłáhági átʼéego:Dahsání dah Yikahjí Tsin Deigházhígíí	Categoria:Istricomorfi
Tʼááłáhági átʼéego:Ńdaʼatʼaałii bideeʼ dahólónígíí	Categoria:Pecora
Tʼááłáhági átʼéego:Choyoołʼįįhí fa-4	Categoria:Utenti fa-4
Bee álnééhí:User nn-3	Template:Utente nn-3
Bee álnééhí:User vi	Template:Utente vi
Tʼááłáhági átʼéego:Choyoołʼįįhí en-1	Categoria:Utenti en-1
Tʼááłáhági átʼéego:Choyoołʼįįhí de-1	Categoria:Utenti de-1
Tʼááłáhági átʼéego:Choyoołʼįįhí da-N	Categoria:Utenti da-M
Tʼááłáhági átʼéego:Choyoołʼįįhí gl-2	Categoria:Utenti gl-2
Tʼááłáhági átʼéego:Choyoołʼįįhí or	Categoria:Utenti or
Yaaʼ bijáád tseebíhígíí	Ixodida
Bee álnééhí:User ay-4	Template:Utente ay-4
Dahsání	Erethizon dorsatum
Tsiiyázhí (dééł)	Psophia
Bee álnééhí:User ru-3	Template:Utente ru-3
Bee álnééhí:User az-1	Template:Utente az-1
Bee álnééhí:User nl-3	Template:Utente nl-3
Bee álnééhí:User dsb-1	Template:Utente dsb-1
Bee álnééhí:User bar	Template:Utente bar
Bee álnééhí:User li	Template:Utente li
Bee álnééhí:User als-3	Template:Utente als-3
Bee álnééhí:User ba	Template:Utente ba
Bee álnééhí:User hu-4	Template:Utente hu-4
Bee álnééhí:User ga-3	Template:Utente ga-3
Bee álnééhí:User kn-1	Template:Utente kn-1
Bee álnééhí:Bidił daazdoígíí dóó da'ałt'o'ígíí	Template:Mammiferi
Kʼaalógii	Farfalla
Akétłʼóól łichxííʼí yázhí	Raphanus sativus
Special:RecentChanges	Speciale:UltimeModifiche
Tʼááłáhági átʼéego:Choyoołʼįįhí ja-4	Categoria:Utenti ja-4
Gaantsʼosí dóó Sǫʼ łóóʼ biyaʼ	Myzostomida
Ábishjaaʼ łóóʼ	Dendrogramma (genere)
