Afríka	Africa
Barselóna	Barcellona
Ananas	Ananas comosus
Mississippi (fylki)	Mississippi
Ferdinand Magellan	Ferdinando Magellano
Mississippifljót	Mississippi (fiume)
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Sundlaug	Piscina
Mizoram	Mizoram
Sikkim	Sikkim
Patagónía	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abú Dabí	Abu Dhabi
Astana	Astana
New Mexico	Nuovo Messico
Ramses 2.	Ramses II
Aþena	Atene
Hringtorg	Rotatoria
Minnesota	Minnesota
Bagdad	Baghdad
Karakas	Caracas
UTC	Tempo coordinato universale
Wisconsin	Wisconsin
Pune	Pune
Cíceró	Marco Tullio Cicerone
AC Milan	Associazione Calcio Milan
Iowa	Iowa
Lyon-Saint Exupéry-flugvöllur	Aeroporto di Lione Saint Exupéry
Nebraska	Nebraska
Gvatemalaborg	Città del Guatemala
Kansas	Kansas
Havana	L'Avana
Tóbak	Tabacco
Hindí	Lingua hindi
Internet Explorer	Internet Explorer
Vindill	Sigaro
Sígaretta	Sigaretta
Missouri	Missouri
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Úrdú	Lingua urdu
Charles Lindbergh	Charles Lindbergh
Édith Piaf	Édith Piaf
Saxelfur	Elba (fiume)
Oklahoma	Oklahoma
Weser	Weser
Dóná	Danubio
Tariku Bekele	Tariku Bekele
Spree	Sprea
Norðursjór	Mare del Nord
Skagerrak	Skagerrak
Kíl	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hannover	Hannover
Düsseldorf	Düsseldorf
Mainz	Magonza
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
München	Monaco di Baviera
Erfurt	Erfurt
Dresden	Dresda
Magdeburg	Magdeburgo
Blak	Pallavolo
Innsbruck	Innsbruck
Bregenz	Bregenz
Vín (Austurríki)	Vienna
Madonna	Madonna (cantante)
Kaupmannahöfn	Copenaghen
Macrinus	Macrino
Stokkhólmur	Stoccolma
Helsinki	Helsinki
Dyflinn	Dublino
Elagabalus	Eliogabalo
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alessandro Severo
Tallinn	Tallinn
Ríga	Riga
Sansibar	Zanzibar
Maximinus Thrax	Massimino Trace
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Búdapest	Budapest
Gdańsk	Danzica
Frankfurt am Main	Francoforte sul Meno
Wrocław	Breslavia
Lantan	Lantanio
Stjarnfræðieining	Unità astronomica
Gordianus 3.	Gordiano III
Philippus arabi	Filippo l'Arabo
Aceh	Aceh
Kalíníngrad	Kaliningrad
Death Note	Death Note
Lúxemborg (borg)	Lussemburgo (città)
Vaduz	Vaduz
Biblían	Bibbia
San Marínó (borg)	Città di San Marino
Phnom Penh	Phnom Penh
Túlín	Tulio
Ho Chi Minh-borg	Ho Chi Minh (città)
Ytterbín	Itterbio
Lútetín	Lutezio
Hanoí	Hanoi
Kirkja hins sanna Jesú	Vera Chiesa di Gesù
Enska	Lingua inglese
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kúala Lúmpúr	Kuala Lumpur
Taípei	Taipei
Ódessa	Odessa
Arkangelskfylki	Oblast' di Arcangelo
Đồng Hới	Dong Hoi
Concepción	Concepción (Cile)
Ríkiserindrekstur	Diplomazia
Bologna	Bologna
Petrozavodsk	Petrozavodsk
Cagliari	Cagliari
Kíev	Kiev
Catania	Catania
Ontario	Ontario
Patrice Evra	Patrice Evra
Ottawa	Ottawa
Bacary Sagna	Bacary Sagna
Tungl Júpíters	Satelliti naturali di Giove
Júba	Giuba (Sudan del Sud)
Manitoba	Manitoba
Alberta (fylki)	Alberta
Nova Scotia	Nuova Scozia
Jerevan	Erevan
Vologda	Vologda (città)
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Kartúm	Khartum
Formúla 1	Formula 1
Breska Kólumbía	Columbia Britannica
Eyja Játvarðs prins	Isola del Principe Edoardo
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Koltvísýringur	Anidride carbonica
2013	2013
2014	2014
2015	2015
Nýfundnaland og Labrador	Terranova e Labrador
2008	2008
JavaScript	JavaScript
2004	2004
Vologdafylki	Oblast' di Vologda
Wikitravel	Wikitravel
2005	2005
Dragonball	Dragon Ball
2006	2006
Nunavut	Nunavut
2007	2007
Kolmónoxíð	Monossido di carbonio
Veróna	Verona
Iqaluit	Iqaluit
1900	1900
1901	1901
Lívíus	Tito Livio
Charles de Gaulle	Charles de Gaulle
1902	1902
Flórens	Firenze
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
ACF Fiorentina	ACF Fiorentina
HTML5	HTML5
Lucius Annaeus Seneca	Lucio Anneo Seneca
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
Essen	Essen
1994	1994
1995	1995
1996	1996
David Lynch	David Lynch
1910	1910
1911	1911
1912	1912
SVG	Scalable Vector Graphics
Leipzig	Lipsia
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Norimberga
1999	1999
1917	1917
1918	1918
Matur	Alimento
Martialis	Marco Valerio Marziale
Duisburg	Duisburg
Slöngur	Serpentes
Bochum	Bochum
Jacques Chirac	Jacques Chirac
Wuppertal	Wuppertal
Ljóshraði	Velocità della luce
Bielefeld	Bielefeld
XML	XML
Mannheim	Mannheim
Munnmök	Sesso orale
Fiseind	Neutrino
LOL (netslangur)	LOL (internet)
Winnipeg	Winnipeg
Halifax	Halifax (Canada)
Québecborg	Québec (città)
1. janúar	1º gennaio
2. janúar	2 gennaio
1920	1920
3. janúar	3 gennaio
1919	1919
Tacítus	Publio Cornelio Tacito
1921	1921
1922	1922
Lundur (Svíþjóð)	Lund (Svezia)
4. janúar	4 gennaio
1923	1923
Biobío-fylki	Regione del Bío Bío
Lance Armstrong	Lance Armstrong
1924	1924
Araucanía-fylki	Regione dell'Araucanía
Los Ríos-fylki	Regione di Los Ríos
Los Lagos-fylki	Regione di Los Lagos
Georges Pompidou	Georges Pompidou
Leníngradfylki	Oblast' di Leningrado
Graphics Interchange Format	Graphics Interchange Format
Rómúlus og Remus	Romolo e Remo
Dvergreikistjarna	Pianeta nano
5. janúar	5 gennaio
Malmö	Malmö
6. janúar	6 gennaio
Rafeind	Elettrone
7. janúar	7 gennaio
8. janúar	8 gennaio
Hólmgarður	Velikij Novgorod
9. janúar	9 gennaio
10. janúar	10 gennaio
11. janúar	11 gennaio
12. janúar	12 gennaio
Buzz Aldrin	Buzz Aldrin
Scipio Africanus	Publio Cornelio Scipione
Þelamörk	Telemark (contea)
13. janúar	13 gennaio
Birmingham	Birmingham
14. janúar	14 gennaio
15. janúar	15 gennaio
16. janúar	16 gennaio
Tom Hanks	Tom Hanks
17. janúar	17 gennaio
18. janúar	18 gennaio
19. janúar	19 gennaio
20. janúar	20 gennaio
Iðnbyltingin	Rivoluzione industriale
Bensen	Benzene
21. janúar	21 gennaio
22. janúar	22 gennaio
23. janúar	23 gennaio
Rómverska keisaradæmið	Impero romano
24. janúar	24 gennaio
25. janúar	25 gennaio
Minsk	Minsk
26. janúar	26 gennaio
Microsoft	Microsoft
27. janúar	27 gennaio
28. janúar	28 gennaio
29. janúar	29 gennaio
30. janúar	30 gennaio
31. janúar	31 gennaio
Chuck (sjónvarpsþáttur)	Chuck (serie televisiva)
Róteind	Protone
2. desember	2 dicembre
1. desember	1º dicembre
3. desember	3 dicembre
7. desember	7 dicembre
5. desember	5 dicembre
8. desember	8 dicembre
10. desember	10 dicembre
6. desember	6 dicembre
9. desember	9 dicembre
Pink Floyd	Pink Floyd
Scipio Aemilianus	Publio Cornelio Scipione Emiliano
4. desember	4 dicembre
1. febrúar	1º febbraio
2. febrúar	2 febbraio
3. febrúar	3 febbraio
Kurów	Kurów
4. febrúar	4 febbraio
5. febrúar	5 febbraio
6. febrúar	6 febbraio
7. febrúar	7 febbraio
8. febrúar	8 febbraio
9. febrúar	9 febbraio
10. febrúar	10 febbraio
Efnafræði	Chimica
Led Zeppelin	Led Zeppelin
14. febrúar	14 febbraio
13. febrúar	13 febbraio
15. febrúar	15 febbraio
11. febrúar	11 febbraio
12. febrúar	12 febbraio
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19. febrúar	19 febbraio
17. febrúar	17 febbraio
16. febrúar	16 febbraio
18. febrúar	18 febbraio
20. febrúar	20 febbraio
Efnagreining	Chimica analitica
Nifteind	Neutrone
69 (kynlífsstelling)	Posizione del 69
21. febrúar	21 febbraio
22. febrúar	22 febbraio
23. febrúar	23 febbraio
24. febrúar	24 febbraio
25. febrúar	25 febbraio
26. febrúar	26 febbraio
27	27
27. febrúar	27 febbraio
28. febrúar	28 febbraio
11. desember	11 dicembre
29. febrúar	29 febbraio
12. desember	12 dicembre
C Sharp	C sharp
13. desember	13 dicembre
14. desember	14 dicembre
15. desember	15 dicembre
2. mars	2 marzo
3. mars	3 marzo
5. mars	5 marzo
1. mars	1º marzo
7. mars	7 marzo
8. mars	8 marzo
4. mars	4 marzo
10. mars	10 marzo
11. mars	11 marzo
6. mars	6 marzo
13. mars	13 marzo
9. mars	9 marzo
12. mars	12 marzo
15. mars	15 marzo
14. mars	14 marzo
C++	C++
Saltsýra	Acido cloridrico
16. desember	16 dicembre
17. desember	17 dicembre
16. mars	16 marzo
17. mars	17 marzo
18. mars	18 marzo
19. mars	19 marzo
1989	1989
1988	1988
20. mars	20 marzo
1987	1987
1986	1986
1985	1985
1984	1984
21. mars	21 marzo
1983	1983
22. mars	22 marzo
1982	1982
1981	1981
18. desember	18 dicembre
1980	1980
23. mars	23 marzo
Mógadisjú	Mogadiscio
19. desember	19 dicembre
24. mars	24 marzo
25. mars	25 marzo
20. desember	20 dicembre
26. mars	26 marzo
27. mars	27 marzo
28. mars	28 marzo
29. mars	29 marzo
30. mars	30 marzo
31. mars	31 marzo
Sana	Sana’a
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Þrjátíu ára stríðið	Guerra dei trent'anni
Benedikt 16.	Papa Benedetto XVI
15. apríl	15 aprile
13. apríl	13 aprile
12. apríl	12 aprile
14. apríl	14 aprile
11. apríl	11 aprile
10. apríl	10 aprile
8. apríl	8 aprile
9. apríl	9 aprile
7. apríl	7 aprile
6. apríl	6 aprile
5. apríl	5 aprile
4. apríl	4 aprile
3. apríl	3 aprile
1. apríl	1º aprile
2. apríl	2 aprile
Hubble-geimsjónaukinn	Telescopio spaziale Hubble
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16. apríl	16 aprile
17. apríl	17 aprile
18. apríl	18 aprile
19. apríl	19 aprile
20. apríl	20 aprile
21. apríl	21 aprile
22. apríl	22 aprile
23. apríl	23 aprile
24. apríl	24 aprile
Gerhard Schröder	Gerhard Schröder
25. apríl	25 aprile
26. apríl	26 aprile
27. apríl	27 aprile
28. apríl	28 aprile
29. apríl	29 aprile
30. apríl	30 aprile
Fylgihnöttur	Satellite naturale
Joachim Gauck	Joachim Gauck
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1. maí	1º maggio
2. maí	2 maggio
3. maí	3 maggio
4. maí	4 maggio
5. maí	5 maggio
Johannes Rau	Johannes Rau
6. maí	6 maggio
7. maí	7 maggio
8. maí	8 maggio
9. maí	9 maggio
10. maí	10 maggio
11. maí	11 maggio
12. maí	12 maggio
13. maí	13 maggio
14. maí	14 maggio
15. maí	15 maggio
Richard von Weizsäcker	Richard von Weizsäcker
16. maí	16 maggio
17. maí	17 maggio
18. maí	18 maggio
19. maí	19 maggio
20. maí	20 maggio
21. maí	21 maggio
22. maí	22 maggio
23. maí	23 maggio
24. maí	24 maggio
25. maí	25 maggio
26. maí	26 maggio
27. maí	27 maggio
28. maí	28 maggio
29. maí	29 maggio
30. maí	30 maggio
31. maí	31 maggio
Paul McCartney	Paul McCartney
21. desember	21 dicembre
Società Sportiva Lazio	Società Sportiva Lazio
14. júní	14 giugno
15. júní	15 giugno
13. júní	13 giugno
10. júní	10 giugno
7. júní	7 giugno
11. júní	11 giugno
9. júní	9 giugno
12. júní	12 giugno
6. júní	6 giugno
8. júní	8 giugno
5. júní	5 giugno
3. júní	3 giugno
2. júní	2 giugno
1. júní	1º giugno
4. júní	4 giugno
Ringo Starr	Ringo Starr
Napólí	Napoli
22. desember	22 dicembre
SSC Napoli	Società Sportiva Calcio Napoli
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16. júní	16 giugno
Palermo	Palermo
30. júní	30 giugno
Gauss-eyðing	Metodo di eliminazione di Gauss
29. júní	29 giugno
28. júní	28 giugno
26. júní	26 giugno
25. júní	25 giugno
22. júní	22 giugno
27. júní	27 giugno
24. júní	24 giugno
20. júní	20 giugno
23. júní	23 giugno
19. júní	19 giugno
18. júní	18 giugno
21. júní	21 giugno
17. júní	17 giugno
Chuck Norris	Chuck Norris
23. desember	23 dicembre
Vilhjálmur 2. Þýskalandskeisari	Guglielmo II di Germania
Bruce Willis	Bruce Willis
Parma	Parma
Arnold Schwarzenegger	Arnold Schwarzenegger
15. júlí	15 luglio
13. júlí	13 luglio
12. júlí	12 luglio
10. júlí	10 luglio
9. júlí	9 luglio
14. júlí	14 luglio
8. júlí	8 luglio
7. júlí	7 luglio
6. júlí	6 luglio
5. júlí	5 luglio
2. júlí	2 luglio
4. júlí	4 luglio
3. júlí	3 luglio
1. júlí	1º luglio
11. júlí	11 luglio
24. desember	24 dicembre
Watford F.C.	Watford Football Club
31. júlí	31 luglio
30. júlí	30 luglio
29. júlí	29 luglio
28. júlí	28 luglio
27. júlí	27 luglio
25. júlí	25 luglio
24. júlí	24 luglio
23. júlí	23 luglio
26. júlí	26 luglio
22. júlí	22 luglio
19. júlí	19 luglio
21. júlí	21 luglio
20. júlí	20 luglio
17. júlí	17 luglio
18. júlí	18 luglio
16. júlí	16 luglio
Knattspyrna	Calcio (sport)
Münster	Münster (Renania Settentrionale-Vestfalia)
Söngleikur	Musical
25. desember	25 dicembre
Ágsborg	Augusta (Germania)
Siena	Siena
Jaroslav Hašek	Jaroslav Hašek
1963	1963
Lech Kaczyński	Lech Kaczyński
Mönchengladbach	Mönchengladbach
Úrbínó	Urbino
26. desember	26 dicembre
Helförin	Olocausto
1962	1962
IPhone	IPhone
Brúnsvík	Braunschweig
14. ágúst	14 agosto
15. ágúst	15 agosto
13. ágúst	13 agosto
12. ágúst	12 agosto
11. ágúst	11 agosto
10. ágúst	10 agosto
8. ágúst	8 agosto
7. ágúst	7 agosto
9. ágúst	9 agosto
5. ágúst	5 agosto
4. ágúst	4 agosto
2. ágúst	2 agosto
3. ágúst	3 agosto
6. ágúst	6 agosto
1. ágúst	1º agosto
Grimmsbræður	Fratelli Grimm
Chemnitz	Chemnitz
IPad	IPad
27. desember	27 dicembre
Krefeld	Krefeld
Madrid	Madrid
Elton John	Elton John
Kafbátur	Sottomarino
16. ágúst	16 agosto
Coca-Cola	Coca-Cola
Halle	Halle (Saale)
29. ágúst	29 agosto
28. ágúst	28 agosto
30. ágúst	30 agosto
25. ágúst	25 agosto
26. ágúst	26 agosto
23. ágúst	23 agosto
27. ágúst	27 agosto
21. ágúst	21 agosto
20. ágúst	20 agosto
24. ágúst	24 agosto
18. ágúst	18 agosto
17. ágúst	17 agosto
22. ágúst	22 agosto
19. ágúst	19 agosto
31. ágúst	31 agosto
Michael Jackson	Michael Jackson
28. desember	28 dicembre
Freiburg (Þýskaland)	Friburgo in Brisgovia
Inflúensa	Influenza
Bógóta	Bogotá
Lübeck	Lubecca
Brasilía (borg)	Brasilia
15. september	15 settembre
14. september	14 settembre
13. september	13 settembre
12. september	12 settembre
8. september	8 settembre
11. september	11 settembre
7. september	7 settembre
10. september	10 settembre
5. september	5 settembre
4. september	4 settembre
9. september	9 settembre
2. september	2 settembre
6. september	6 settembre
1. september	1º settembre
3. september	3 settembre
Rostock	Rostock
29. desember	29 dicembre
Kassel	Kassel
Líma	Lima
Hamm	Hamm
30. september	30 settembre
29. september	29 settembre
28. september	28 settembre
27. september	27 settembre
26. september	26 settembre
25. september	25 settembre
Santíagó	Santiago del Cile
23. september	23 settembre
22. september	22 settembre
24. september	24 settembre
21. september	21 settembre
20. september	20 settembre
18. september	18 settembre
17. september	17 settembre
19. september	19 settembre
16. september	16 settembre
Quito	Quito
30. desember	30 dicembre
Súkre	Sucre (città)
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
Ludwigshafen	Ludwigshafen am Rhein
31. desember	31 dicembre
1. október	1º ottobre
Osnabrück	Osnabrück
15. október	15 ottobre
12. október	12 ottobre
10. október	10 ottobre
14. október	14 ottobre
9. október	9 ottobre
8. október	8 ottobre
13. október	13 ottobre
7. október	7 ottobre
11. október	11 ottobre
6. október	6 ottobre
4. október	4 ottobre
5. október	5 ottobre
3. október	3 ottobre
2. október	2 ottobre
Asúnsjón	Asunción
Geit	Capra hircus
Aldinborg	Oldenburg (Oldenburg)
Leverkusen	Leverkusen
Sixtínska kapellan	Cappella Sistina
Versalahöll	Reggia di Versailles
Þéttmerski	Circondario del Dithmarschen
Neuss	Neuss
31. október	31 ottobre
30. október	30 ottobre
29. október	29 ottobre
28. október	28 ottobre
26. október	26 ottobre
25. október	25 ottobre
24. október	24 ottobre
27. október	27 ottobre
22. október	22 ottobre
23. október	23 ottobre
20. október	20 ottobre
21. október	21 ottobre
19. október	19 ottobre
17. október	17 ottobre
16. október	16 ottobre
18. október	18 ottobre
Heidelberg	Heidelberg
Paderborn	Paderborn
Darmstadt	Darmstadt
Dómkirkja	Cattedrale
Regensburg	Ratisbona
Notre Dame	Cattedrale di Notre-Dame
15. nóvember	15 novembre
14. nóvember	14 novembre
13. nóvember	13 novembre
12. nóvember	12 novembre
11. nóvember	11 novembre
10. nóvember	10 novembre
7. nóvember	7 novembre
8. nóvember	8 novembre
9. nóvember	9 novembre
6. nóvember	6 novembre
5. nóvember	5 novembre
4. nóvember	4 novembre
3. nóvember	3 novembre
2. nóvember	2 novembre
1. nóvember	1º novembre
Würzburg	Würzburg
Paramaríbó	Paramaribo
Ingolstadt	Ingolstadt
Ulm	Ulma
Wolfsburg	Wolfsburg
30. nóvember	30 novembre
29. nóvember	29 novembre
28. nóvember	28 novembre
27. nóvember	27 novembre
26. nóvember	26 novembre
25. nóvember	25 novembre
23. nóvember	23 novembre
24. nóvember	24 novembre
21. nóvember	21 novembre
20. nóvember	20 novembre
22. nóvember	22 novembre
19. nóvember	19 novembre
18. nóvember	18 novembre
17. nóvember	17 novembre
16. nóvember	16 novembre
Göttingen	Gottinga
Katmandú	Katmandu
Hudsonflói	Baia di Hudson
Offenbach am Main	Offenbach am Main
Belmópan	Belmopan
Karlamagnús	Carlo Magno
Pforzheim	Pforzheim
San José	San José
Pönk	Punk rock
Umferðarlög	Codice della strada
Fürth	Fürth (Baviera)
Shoemaker-Levy 9	Cometa Shoemaker-Levy 9
Reutlingen	Reutlingen
Koblenz	Coblenza
Sylt	Sylt
Canberra	Canberra
Íó (tungl)	Io (astronomia)
Erlangen	Erlangen
Föhr	Föhr
Sydney	Sydney
Grænn	Verde
Kallistó (tungl)	Callisto (astronomia)
Trier	Treviri
Hudsonfljót	Hudson
Melbourne	Melbourne
Rauður	Rosso
Evrópa (tungl)	Europa (astronomia)
Jena	Jena
Kúrsk	Kursk
Ganýmedes (tungl)	Ganimede (astronomia)
Fehmarn	Fehmarn
Perth	Perth (Australia Occidentale)
Hildesheim	Hildesheim
Eldur	Fuoco
Ljóseind	Fotone
Galíleótunglin	Satelliti medicei
Vestur-Ástralía	Australia Occidentale
Cottbus	Cottbus
Nýja Suður-Wales	Nuovo Galles del Sud
Jáeind	Positrone
Gufuhvolf	Atmosfera terrestre
Norðursvæðið	Territorio del Nord
Rügen	Rügen
Tegucigalpa	Tegucigalpa
Usedom	Usedom
Höfuðborgarsvæði Ástralíu	Territorio della Capitale Australiana
Winnipegvatn	Winnipeg (lago)
Managva	Managua
Cher (sýsla)	Cher (dipartimento)
Límeind	Gluone
Karl hamar	Carlo Martello
Panamaborg	Panamá (città)
Egða	Eider
Títanía (tungl)	Titania (astronomia)
Belgorodfylki	Oblast' di Belgorod
Óberon (tungl)	Oberon (astronomia)
George Orwell	George Orwell
Amelia Earhart	Amelia Earhart
Zugspitze	Zugspitze
Eure-et-Loir (sýsla)	Eure-et-Loir
Níl	Nilo
Hertfordshire	Hertfordshire
Súmatra	Sumatra
Campobasso	Campobasso
Kongófljót	Congo (fiume)
Bari	Bari
Nígerfljót	Niger (fiume)
Rabat	Rabat
Halastjarna	Cometa
Algeirsborg	Algeri
Senegalfljót	Senegal (fiume)
Túnis (borg)	Tunisi
Trípólí	Tripoli
Jack Angel	Jack Angel
Antofagasta	Antofagasta
Teheran	Teheran
Karlovac	Karlovac
Addis Ababa	Addis Abeba
Djakarta	Giacarta
Verbania	Verbania
Ankara	Ankara
Asmara	Asmara
N'Djamena	N'Djamena
Níamey	Niamey
Krasnodarfylki	Territorio di Krasnodar
Núaksjott	Nouakchott
Ríad	Riyad
1961	1961
Bamakó	Bamako
Fet	Piede (unità di misura)
Belgrad	Belgrado
Dakar	Dakar
Kónakrí	Conakry
Adigea	Adighezia
Bissá	Bissau
Flokkur:Snið	Categoria:Template
Monróvía	Monrovia
Gera	Gera
Praia	Praia
1960	1960
Java	Giava
Kaiserslautern	Kaiserslautern
Flokkur:Þemasnið	Categoria:Template per tema
Akkra	Accra
Damaskus	Damasco
Yamoussoukro	Yamoussoukro
Franska Gvæjana	Guyana francese
Quentin Tarantino	Quentin Tarantino
Ouagadougou	Ouagadougou
Freetown	Freetown
Amasónfljót	Rio delle Amazzoni
Esslingen	Esslingen am Neckar
Abuja	Abuja
Lomé	Lomé
Flensborg	Flensburgo
Porto Novo	Porto-Novo
Hanau	Hanau
Litlu-Sundaeyjar	Piccole Isole della Sonda
Amman	Amman
Tübingen	Tubinga
Jánde	Yaoundé
Coyhaique	Coyhaique
Súlavesí	Sulawesi
Malabó	Malabo
Beirút	Beirut
Libreville	Libreville
Múskat (borg)	Mascate
Mólúkkaeyjar	Molucche
Bangví	Bangui
Konstanz	Costanza (Germania)
Kinsasa	Kinshasa
Brazzaville	Brazzaville
Vestur-Nýja-Gínea	Nuova Guinea Occidentale
Worms	Worms
Bújúmbúra	Bujumbura
Nikósía	Nicosia
Wilhelmshaven	Wilhelmshaven
Kígalí	Kigali
Doha	Doha
Smástirni	Asteroide
Dódóma	Dodoma
Marburg	Marburgo (Germania)
Naíróbí	Nairobi
Taugasálfræði	Neuropsicologia
Corral	Corral (Cile)
Lílongve	Lilongwe
Flokkur:Landafræðisnið	Categoria:Template geografia
Lúsaka	Lusaka
Manama	Manama
Amazon.com	Amazon.com
Sólmyrkvi	Eclissi solare
Mapútó	Maputo
Kampala	Kampala
Adidas	Adidas
Lúanda	Luanda
Móróní	Moroni (Comore)
Mbabane	Mbabane
Galisía	Galizia (Spagna)
Maserú	Maseru
Albert 2. Belgíukonungur	Alberto II del Belgio
Tvíundakerfi	Sistema numerico binario
Skóli	Scuola
Antananarívó	Antananarivo
Háskóli	Università
Gaboróne	Gaborone
Lüneburg	Luneburgo
Harare	Harare
Bayreuth	Bayreuth
Grace Kelly	Grace Kelly
Pretoría	Pretoria
Astrakan	Astrachan'
Port Louis	Port Louis
Borðtennis	Tennistavolo
Brandenburg an der Havel	Brandeburgo sulla Havel
Astúría	Asturie
Windhoek	Windhoek
Bamberg	Bamberga
Sprengistjarna	Supernova
Wikipedia:Sandkassinn	Wikipedia:Pagina delle prove
Astrakanfylki	Oblast' di Astrachan'
Grenndarhópurinn	Gruppo Locale
Wikipedia:Kynning	Aiuto:Benvenuto
Kantabría	Cantabria
Hús	Casa
Neptúnus (guð)	Nettuno (divinità)
Weimar	Weimar
Bær	Town
Fartölva	Computer portatile
Vélbúnaður	Hardware
Algebra	Algebra
Liège	Liegi
Baskaland	Paesi Baschi
Líffærafræði mannsins	Anatomia umana
Landakort	Mappa
Navarra	Navarra
Á (landslagsþáttur)	Fiume
Frankfurt (Oder)	Francoforte sull'Oder
Paul Simon	Paul Simon
Duke Ellington	Duke Ellington
Osasco	Osasco (San Paolo)
Aragon	Aragona
Hameln	Hameln
Stralsund	Stralsund
Göppingen	Göppingen
Hornhöfði	Capo Horn
Eschweiler	Eschweiler (Germania)
Ammóníak	Ammoniaca
Góðrarvonarhöfði	Capo di Buona Speranza
Glasgow	Glasgow
Greifswald	Greifswald
Baden-Baden	Baden-Baden
Chris Rock	Chris Rock
Brennisteinssýra	Acido solforico
IJsselmeer	IJsselmeer
Bodenvatn	Lago di Costanza
Waiblingen	Waiblingen
Neuschwanstein	Castello di Neuschwanstein
Donghoiflugvöllur	Aeroporto di Dong Hoi
Geimur	Spazio (astronomia)
Dómkirkjan í Köln	Duomo di Colonia
45 f.Kr.	45 a.C.
Wetzlar	Wetzlar
46 f.Kr.	46 a.C.
Sjálfsævisaga	Autobiografia
Harzfjöll	Harz
Luzern	Lucerna
41 f.Kr.	41 a.C.
Cuxhaven	Cuxhaven
42 f.Kr.	42 a.C.
Nifteindastjörnur	Stella di neutroni
Svartiskógur	Foresta Nera
25 f.Kr.	25 a.C.
Ned Beatty	Ned Beatty
Sjónauki	Telescopio
Miley Cyrus	Miley Cyrus
Flokkur:Mannanöfn eftir menningu	Categoria:Prenomi per lingua
Wii stöðvar	Mii (Nintendo)
Útvarpsbylgjur	Onda radio
Flokkur:Saga Benín	Categoria:Storia del Benin
Smjörlíki	Margarina
Móðurborð	Scheda madre
Flokkur:Saga Bangladess	Categoria:Storia del Bangladesh
Arnaut Daniel	Arnaut Daniel
Curitiba	Curitiba
Pangea	Pangea
Vestur-Afríka	Africa occidentale
